token,frequency,length
poor,21,4
contempt,3,8
claimd,1,6
thou,108,4
slept,2,5
faith,6,5
may,28,3
contriv,1,7
father,23,6
defeat,1,6
queen,25,5
flesh,5,5
broke,4,5
puttanc,1,7
expedit,2,7
hous,11,4
ever,20,4
lament,4,6
stomach,3,7
butli,1,5
furi,3,4
know,38,4
everyth,1,7
grew,1,4
daili,1,5
great,28,5
strength,6,8
thought,18,7
bright,1,6
bud,2,3
mine,21,4
biondello,1,9
marri,11,5
pray,17,4
patienc,4,7
king,64,4
lear,7,4
instant,1,7
common,4,6
maid,5,4
less,3,4
brave,4,5
gentleman,20,9
joiner,1,6
find,12,4
u,41,1
wax,2,3
owe,3,3
full,10,4
presenc,1,7
fooder,1,6
stave,1,5
remors,1,6
bridal,1,6
man,43,3
grace,23,5
everi,25,5
busi,6,4
tongu,8,5
think,25,5
contend,1,7
hath,52,4
respect,4,7
thee,84,4
biron,2,5
left,6,4
ill,49,3
die,15,3
bless,8,5
reason,8,6
natur,8,5
honour,23,6
bosom,6,5
safe,4,4
other,2,5
speedybirth,1,11
bill,3,4
forestem,1,8
richard,5,7
heart,28,5
questiond,1,9
enough,10,6
partier,1,7
forth,4,5
obser,1,5
dpunishd,1,8
hate,3,4
restraint,1,9
would,86,5
got,6,3
partli,1,6
autolycu,1,8
sat,2,3
love,48,4
within,5,6
foul,6,4
prayer,4,6
much,17,4
thu,19,3
make,55,4
wise,5,4
exclaim,1,7
sure,4,4
say,48,3
well,56,4
like,36,4
dotag,1,5
fix,3,3
ceas,5,4
let,46,3
eye,25,3
straight,7,8
sole,1,4
sword,10,5
conveyard,1,9
dustconfound,1,12
land,5,4
command,13,7
puissant,1,8
grief,6,5
dead,11,4
till,15,4
shall,92,5
fail,2,4
sister,9,6
true,29,4
good,73,4
see,46,3
heard,9,5
midwif,1,6
loud,4,4
servic,5,6
thi,96,3
sweetli,3,7
daughter,16,8
singl,7,5
strang,4,6
word,14,4
pent,1,4
steed,2,5
stay,10,4
brought,12,7
milthi,1,6
guideriu,1,8
lord,90,4
part,17,4
hand,31,4
taken,1,5
weight,1,6
return,3,6
ring,3,4
ere,11,3
danger,7,6
way,23,3
swear,14,5
bear,20,4
kin,1,3
island,3,6
speech,3,6
deni,3,4
forc,2,4
grant,4,5
abhorson,1,8
art,20,3
earth,8,5
villain,16,7
reserv,1,6
keep,11,4
talbot,9,6
henri,16,5
viii,2,4
lead,3,4
kent,5,4
yet,31,3
eas,1,3
truli,4,5
number,3,6
talk,6,4
death,25,5
name,18,4
hot,5,3
year,4,4
far,2,3
gener,5,5
buri,1,4
vacu,1,4
arrest,1,6
timon,6,5
sere,1,4
sail,1,4
breath,7,6
knee,3,4
deed,7,4
husband,19,7
alack,2,5
speak,32,5
pluck,6,5
men,25,3
abroad,1,6
doth,25,4
go,45,2
cassiu,13,6
desir,13,5
calld,5,5
ballant,1,7
bardolph,3,8
tost,1,4
take,36,4
madder,1,6
duke,30,4
york,17,4
readi,4,5
advic,2,5
chast,2,5
second,30,6
neri,1,4
franc,9,5
antipholu,3,9
ephesu,1,6
outliv,2,6
ladi,22,4
philosophi,2,10
upon,33,4
wrong,5,5
despis,3,6
sit,9,3
gloucest,13,8
look,23,4
wear,10,4
nobleman,1,8
bandibl,1,7
pardon,6,6
thousand,5,8
embur,1,5
